2022.09.19 19:37:17
Îáðàçåö: ß÷åéêà LCoV 16-09-2022
Lambda1 = 1.54060
Lambda2 = 1.54439
Lambdam = 1.54186
R = 0.497
2Theta	I

line¹ 0 ;repeat¹ 0
22.1120	547.01
22.1264	564.08
22.1409	529.79
22.1553	557.48
22.1697	569.64
22.1842	639.14
22.1986	578.96
22.2131	523.71
22.2275	582.37
22.2419	569.39
22.2564	639.03
22.2708	495.37
22.2853	518.33
22.2997	528.80
22.3141	627.59
22.3286	571.96
22.3430	531.08
22.3575	584.60
22.3719	517.24
22.3863	543.61
22.4008	516.48
22.4152	604.63
22.4297	604.59
22.4441	539.44
22.4585	593.89
22.4730	542.49
22.4874	554.41
22.5019	576.47
22.5163	679.88
22.5307	591.65
22.5452	553.27
22.5596	517.77
22.5741	515.09
22.5885	679.81
22.6029	636.82
22.6174	532.43
22.6318	475.82
22.6463	473.08
22.6607	517.93
22.6751	631.10
22.6896	617.86
22.7040	601.31
22.7185	643.26
22.7329	663.33
22.7473	576.20
22.7618	555.22
22.7762	594.14
22.7907	631.13
22.8051	619.51
22.8195	567.33
22.8340	506.54
22.8484	577.78
22.8629	556.62
22.8773	579.12
22.8917	491.84
22.9062	622.54
22.9206	644.21
22.9351	552.01
22.9495	582.33
22.9639	587.78
22.9784	629.98
22.9928	604.89
23.0073	650.14
23.0217	616.75
23.0361	621.10
23.0506	605.87
23.0650	595.07
23.0795	681.54
23.0939	602.72
23.1083	616.96
23.1228	665.99
23.1372	560.59
23.1517	585.07
23.1661	533.07
23.1806	623.56
23.1950	544.56
23.2094	495.36
23.2239	573.32
23.2383	528.06
23.2528	550.05
23.2672	549.52
23.2816	571.72
23.2961	576.44
23.3105	555.83
23.3250	536.63
23.3394	533.74
23.3538	493.31
23.3683	571.30
23.3827	576.42
23.3972	542.01
23.4116	566.26
23.4260	564.50
23.4405	582.41
23.4549	565.76
23.4694	569.61
23.4838	577.25
23.4982	602.83
23.5127	546.63
23.5271	513.44
23.5416	562.94
23.5560	566.90
23.5704	484.17
23.5849	551.47
23.5993	548.41
23.6138	563.86
23.6282	543.68
23.6426	607.21
23.6571	488.00
23.6715	517.81
23.6860	528.10
23.7004	597.64
23.7148	553.04
23.7293	561.73
23.7437	500.51
23.7582	561.95
23.7726	623.99
23.7870	605.22
23.8015	469.49
23.8159	556.15
23.8304	521.57
23.8448	590.87
23.8592	549.00
23.8737	555.55
23.8881	551.93
23.9026	600.29
23.9170	600.09
23.9314	539.39
23.9459	519.09
23.9603	528.35
23.9748	586.95
23.9892	586.92
24.0036	520.70
24.0181	561.36
24.0325	590.31
24.0470	563.75
24.0614	612.13
24.0758	597.11
24.0903	556.02
24.1047	585.30
24.1192	519.24
24.1336	554.80
24.1480	547.14
24.1625	603.36
24.1769	606.09
24.1914	568.18
24.2058	583.42
24.2202	592.29
24.2347	666.15
24.2491	607.06
24.2636	561.62
24.2780	576.95
24.2924	565.88
24.3069	610.09
24.3213	576.77
24.3358	573.78
24.3502	561.28
24.3646	562.75
24.3791	522.82
24.3935	528.24
24.4080	516.73
24.4224	592.76
24.4368	551.44
24.4513	557.15
24.4657	570.49
24.4802	554.08
24.4946	526.92
24.5090	535.65
24.5235	580.95
24.5379	606.85
24.5524	574.73
24.5668	528.75
24.5812	550.42
24.5957	571.78
24.6101	534.83
24.6246	503.59
24.6390	600.30
24.6534	567.09
24.6679	579.43
24.6823	570.71
24.6968	547.50
24.7112	570.05
24.7256	526.77
24.7401	518.32
24.7545	538.33
24.7690	580.80
24.7834	562.80
24.7978	575.06
24.8123	577.17
24.8267	603.94
24.8412	539.38
24.8556	539.18
24.8700	580.17
24.8845	546.45
24.8989	532.93
24.9134	583.18
24.9278	559.04
24.9422	550.21
24.9567	526.58
24.9711	543.22
24.9856	578.93
25.0000	538.35
25.0144	625.91
25.0289	567.28
25.0433	523.12
25.0578	591.53
25.0722	559.40
25.0866	622.67
25.1011	553.17
25.1155	545.44
25.1300	532.72
25.1444	564.44
25.1588	541.64
25.1733	572.91
25.1877	526.61
25.2022	505.48
25.2166	573.96
25.2310	554.82
25.2455	533.62
25.2599	542.00
25.2744	584.01
25.2888	560.57
25.3032	547.60
25.3177	555.76
25.3321	500.13
25.3466	552.91
25.3610	530.97
25.3754	564.99
25.3899	546.50
25.4043	489.50
25.4188	512.09
25.4332	553.77
25.4476	525.69
25.4621	534.39
25.4765	530.85
25.4910	516.55
25.5054	505.83
25.5198	528.33
25.5343	508.90
25.5487	569.51
25.5632	538.67
25.5776	561.96
25.5920	557.73
25.6065	553.11
25.6209	603.90
25.6354	554.33
25.6498	540.10
25.6642	531.79
25.6787	558.28
25.6931	528.79
25.7076	482.91
25.7220	538.48
25.7364	551.78
25.7509	551.09
25.7653	532.54
25.7798	557.21
25.7942	554.17
25.8086	509.68
25.8231	526.60
25.8375	544.52
25.8520	557.24
25.8664	547.28
25.8808	538.17
25.8953	548.58
25.9097	546.91
25.9242	547.17
25.9386	569.88
25.9530	515.46
25.9675	527.87
25.9819	553.59
25.9964	522.27
26.0108	530.32
26.0252	546.50
26.0397	528.88
26.0541	546.34
26.0686	563.37
26.0830	527.78
26.0974	522.72
26.1119	531.85
26.1263	508.15
26.1408	501.59
26.1552	519.31
26.1696	537.67
26.1841	547.68
26.1985	536.74
26.2130	530.79
26.2274	527.12
26.2418	548.19
26.2563	583.56
26.2707	545.08
26.2852	535.15
26.2996	514.28
26.3140	529.13
26.3285	541.39
26.3429	510.47
26.3574	480.73
26.3718	526.18
26.3862	577.41
26.4007	564.67
26.4151	568.98
26.4296	539.46
